State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Grid_Name,Part_Grid_Name,Part_Grid_Split_Count,Grid_Population,Grid_Households,Part_Grid_Population,Part_Grid_Households,ESI_Value,ESI_Segment
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Srinivasa Puram,Srinivasa Puram,113,Che_02616,Che_02616_113,1,828,209,540,136,45000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Foreshore Estate,Block AT,714,Che_02616,Che_02616_714,1,828,209,288,73,80000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Srinivasa Puram,Srinivasa Puram,113,Che_02617,Che_02617_113,1,1653,416,1653,416,45000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Srinivasa Puram,Srinivasa Puram,113,Che_02618,Che_02618_113,1,1257,316,1257,316,45000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Srinivasa Puram,Srinivasa Puram,113,Che_02619,Che_02619_113,1,83,21,83,21,45000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Mylapore,Sankarapuram,838,Che_02333,Che_02333_838,1,2269,600,1077,285,80000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Mandavelipakkam,418,Che_02334,Che_02334_418,2,1468,389,1468,389,181000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Raja Annamalai Puram,405,Che_02335,Che_02335_405,1,345,90,109,29,179000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Karpagam Avenue,413,Che_02335,Che_02335_413,1,345,90,213,54,181000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Mandavelipakkam,418,Che_02335,Che_02335_418,1,345,90,23,7,181000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Karpagam Avenue,413,Che_02336,Che_02336_413,1,2132,536,2132,536,197000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Karpagam Avenue,413,Che_02337,Che_02337_413,1,1131,285,832,209,143000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,MRC Nagar,414,Che_02337,Che_02337_414,2,1131,285,299,76,143000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,State Bank of India Colony,416,Che_02338,Che_02338_416,1,242,61,242,61,239000,"2,00,000-2,50,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Santhome,Dummingkuppam,111,Che_02675,Che_02675_111,1,862,217,862,217,60000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Foreshore Estate,Foreshore Estate,708,Che_02676,Che_02676_708,1,374,94,374,94,45000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Foreshore Estate,Foreshore Estate,708,Che_02677,Che_02677_708,1,46,13,46,13,45000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Mandavelipakkam,418,Che_02482,Che_02482_418,1,1869,480,746,198,181000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600004,Mylapore,Sankarapuram,838,Che_02482,Che_02482_838,1,1869,480,1123,282,107000,"80,000-1,20,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Mandavelipakkam,418,Che_02483,Che_02483_418,1,1452,384,1452,384,159000,"1,20,000-1,60,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Karpagam Avenue,413,Che_02485,Che_02485_413,1,94,24,94,24,56000,"40,000-80,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,MRC Nagar,414,Che_02486,Che_02486_414,1,232,59,232,59,191000,"1,60,000-2,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,MRC Nagar,414,Che_02487,Che_02487_414,2,724,183,724,183,272000,"2,50,000-3,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,MRC Nagar,414,Che_02488,Che_02488_414,1,544,137,544,137,272000,"2,50,000-3,00,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,Parkview Enclave,3024,Hyd_06541,Hyd_06541_3024,1,1761,415,285,68,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,Parkview Enclave,3024,Hyd_06630,Hyd_06630_3024,1,934,223,470,113,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,Anand Nagar,3133,Hyd_10687,Hyd_10687_3133,3,1707,415,1707,415,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,Anand Nagar,3133,Hyd_10688,Hyd_10688_3133,1,1214,296,907,221,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,New Bowenpally,3136,Hyd_10703,Hyd_10703_3136,1,1138,273,697,167,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Napier Lines,3132,Hyd_10704,Hyd_10704_3132,1,429,105,429,105,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Napier Lines,3132,Hyd_10705,Hyd_10705_3132,1,44,11,44,11,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Napier Lines,3132,Hyd_10721,Hyd_10721_3132,1,474,115,474,115,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Tar Bund,3020,Hyd_10722,Hyd_10722_3020,1,1111,270,713,173,40000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Napier Lines,3132,Hyd_10722,Hyd_10722_3132,1,1111,270,398,97,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Tar Bund,3020,Hyd_10723,Hyd_10723_3020,1,120,30,120,30,40000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,Parkview Enclave,3024,Hyd_10729,Hyd_10729_3024,1,1430,340,345,82,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,"SAIL Employees Colony, SAIL Colony",3053,Hyd_10729,Hyd_10729_3053,1,1430,340,373,89,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Manovikas Nagar,3140,Hyd_10729,Hyd_10729_3140,1,1430,340,348,83,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,Icrisat Colony,3139,Hyd_10730,Hyd_10730_3139,1,1070,256,600,143,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Kummu Gutta,3146,Hyd_10733,Hyd_10733_3146,2,307,76,307,76,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Tar Bund,3020,Hyd_10734,Hyd_10734_3020,2,1636,398,302,75,40000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Kummu Gutta,3146,Hyd_10734,Hyd_10734_3146,1,1636,398,1334,323,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Kummu Gutta,3146,Hyd_10735,Hyd_10735_3146,1,11,3,11,3,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Manovikas Nagar,3140,Hyd_10739,Hyd_10739_3140,1,926,220,926,220,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,"Madhupala Enclave, Manovikas Nagar",3055,Hyd_10740,Hyd_10740_3055,2,580,139,580,139,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Sikh Village,3191,Hyd_10742,Hyd_10742_3191,1,706,171,706,171,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Kummu Gutta,3146,Hyd_10743,Hyd_10743_3146,1,2240,543,463,113,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Sikh Village,3191,Hyd_10743,Hyd_10743_3191,1,2240,543,1777,430,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Kummu Gutta,3146,Hyd_10744,Hyd_10744_3146,1,2021,490,2021,490,76000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Bowenpally,Kummu Gutta,3146,Hyd_10745,Hyd_10745_3146,1,35,10,16,4,73000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Gun Rock Enclave,Mudfort,3148,Hyd_10745,Hyd_10745_3148,1,35,10,19,6,70000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500009,Gun Rock Enclave,Mudfort,3148,Hyd_10746,Hyd_10746_3148,1,25,6,25,6,70000,"40,000-80,000"
ANDHRA PRADESH,Hyderabad,Tirumalagiri,Secunderabad Cantt. Board,Outskirts,500011,Bowenpally,"Sri Sai Apartment, SBI Colony",3051,Hyd_10749,Hyd_10749_3051,2,585,128,417,89,66000,"40,000-80,000"
